# frame 0  Twc (camera->world)
0.96018282 0.19316822 -0.20182910 0.08343372
-0.09870927 0.91041503 0.40174737 -0.10039244
0.26135307 -0.36582852 0.89323237 0.10663081
0.00000000 0.00000000 0.00000000 1.00000000
# frame 25  Twc (camera->world)
0.95875751 0.20502587 -0.19684619 0.08193848
-0.10719027 0.90225519 0.41766711 -0.09946204
0.26323806 -0.37934148 0.88702073 0.10836732
0.00000000 0.00000000 0.00000000 1.00000000
# frame 26  Twc (camera->world)
0.95749234 0.21037575 -0.19735871 0.07816380
-0.10683955 0.89416455 0.43480464 -0.09743344
0.26794352 -0.39523639 0.87863216 0.10933714
0.00000000 0.00000000 0.00000000 1.00000000
# frame 27  Twc (camera->world)
0.95558821 0.22184017 -0.19400545 0.07516402
-0.11364890 0.88478052 0.45193735 -0.09375791
0.27191010 -0.40981749 0.87069772 0.11008657
0.00000000 0.00000000 0.00000000 1.00000000
# frame 28  Twc (camera->world)
0.95592444 0.22759985 -0.18549065 0.07197678
-0.12166117 0.88200837 0.45525794 -0.09433059
0.26722094 -0.41262518 0.87082342 0.11101903
0.00000000 0.00000000 0.00000000 1.00000000
# frame 29  Twc (camera->world)
0.95605357 0.22643961 -0.18624361 0.07028705
-0.12170301 0.88441624 0.45055110 -0.09365520
0.26673949 -0.40808458 0.87310768 0.11076672
0.00000000 0.00000000 0.00000000 1.00000000
# frame 30  Twc (camera->world)
0.95557578 0.22459145 -0.19087592 0.06973221
-0.11924604 0.88681302 0.44647851 -0.09294372
0.26954651 -0.40388285 0.87419868 0.11099612
0.00000000 0.00000000 0.00000000 1.00000000
# frame 31  Twc (camera->world)
0.95649689 0.22425780 -0.18660693 0.06811047
-0.12277367 0.88964470 0.43983968 -0.09091115
0.26465134 -0.39779486 0.87847534 0.11008526
0.00000000 0.00000000 0.00000000 1.00000000
# frame 32  Twc (camera->world)
0.95723512 0.22616381 -0.18041854 0.06615494
-0.12695942 0.88873988 0.44048012 -0.09022199
0.25996581 -0.39873721 0.87944665 0.11021209
0.00000000 0.00000000 0.00000000 1.00000000
# frame 33  Twc (camera->world)
0.95748646 0.22594879 -0.17935111 0.06562921
-0.12778182 0.88958486 0.43853231 -0.08857058
0.25863388 -0.39697094 0.88063760 0.11040690
0.00000000 0.00000000 0.00000000 1.00000000
# frame 34  Twc (camera->world)
0.95778818 0.22708168 -0.17628302 0.06569504
-0.12972472 0.88863575 0.43988408 -0.08667206
0.25654101 -0.39844751 0.88058293 0.11063064
0.00000000 0.00000000 0.00000000 1.00000000
# frame 35  Twc (camera->world)
0.96026737 0.22880559 -0.15979546 0.06241253
-0.13749786 0.88613700 0.44255571 -0.08681408
0.24285989 -0.40300027 0.88238872 0.11258674
0.00000000 0.00000000 0.00000000 1.00000000
# frame 36  Twc (camera->world)
0.96154824 0.22542659 -0.15686887 0.06213659
-0.13727814 0.88922524 0.43638652 -0.08623333
0.23786488 -0.39807202 0.88597910 0.11191693
0.00000000 0.00000000 0.00000000 1.00000000
# frame 37  Twc (camera->world)
0.96498011 0.22934548 -0.12733434 0.05926811
-0.15498014 0.89007693 0.42865396 -0.08263454
0.21164720 -0.39390825 0.89445053 0.11170156
0.00000000 0.00000000 0.00000000 1.00000000
# frame 38  Twc (camera->world)
0.96595949 0.22806271 -0.12210515 0.05841246
-0.15641607 0.89085488 0.42651096 -0.08204245
0.20604922 -0.39289310 0.89620240 0.11169760
0.00000000 0.00000000 0.00000000 1.00000000
# frame 39  Twc (camera->world)
0.96740372 0.22495933 -0.11628994 0.05752865
-0.15676070 0.89262157 0.42267342 -0.08124533
0.19888723 -0.39066614 0.89879021 0.11109508
0.00000000 0.00000000 0.00000000 1.00000000
# frame 40  Twc (camera->world)
0.96938635 0.22277216 -0.10326022 0.05534396
-0.16049849 0.89315122 0.42014417 -0.07981576
0.18582342 -0.39070891 0.90156320 0.11030560
0.00000000 0.00000000 0.00000000 1.00000000
# frame 41  Twc (camera->world)
0.97000166 0.22253785 -0.09784519 0.05414066
-0.16245393 0.89281714 0.42010269 -0.07943435
0.18084662 -0.39160497 0.90218626 0.10994411
0.00000000 0.00000000 0.00000000 1.00000000
# frame 42  Twc (camera->world)
0.97008892 0.22366121 -0.09435649 0.05446891
-0.16472541 0.89202871 0.42089228 -0.07958044
0.17830598 -0.39276003 0.90218986 0.11014546
0.00000000 0.00000000 0.00000000 1.00000000
# frame 43  Twc (camera->world)
0.97062369 0.22834040 -0.07583078 0.05016350
-0.17740579 0.89210906 0.41553413 -0.07814563
0.16253256 -0.38987445 0.90641110 0.10986412
0.00000000 0.00000000 0.00000000 1.00000000
# frame 44  Twc (camera->world)
0.97090846 0.22705536 -0.07604362 0.04972216
-0.17651281 0.89325369 0.41345021 -0.07785887
0.16180233 -0.38799964 0.90734574 0.10928345
0.00000000 0.00000000 0.00000000 1.00000000
# frame 45  Twc (camera->world)
0.97098245 0.22711615 -0.07490881 0.04886160
-0.17726719 0.89376192 0.41202666 -0.07781883
0.16052855 -0.38679179 0.90808738 0.10913639
0.00000000 0.00000000 0.00000000 1.00000000
# frame 46  Twc (camera->world)
0.97145737 0.22574787 -0.07285936 0.04850398
-0.17750086 0.89553546 0.40805597 -0.07707802
0.15736591 -0.38347638 0.91004496 0.10877829
0.00000000 0.00000000 0.00000000 1.00000000
# frame 47  Twc (camera->world)
0.97230750 0.23143026 -0.03252950 0.04296032
-0.19835810 0.89081829 0.40877481 -0.07513390
0.12358073 -0.39100232 0.91205536 0.10664601
0.00000000 0.00000000 0.00000000 1.00000000
# frame 48  Twc (camera->world)
0.97199290 0.23390595 -0.02275542 0.04089594
-0.20443543 0.88932174 0.40903912 -0.07513743
0.11591358 -0.39293111 0.91223308 0.10642048
0.00000000 0.00000000 0.00000000 1.00000000
# frame 49  Twc (camera->world)
0.97222412 0.23340767 -0.01735271 0.03866179
-0.20629368 0.88958312 0.40753501 -0.07540921
0.11055848 -0.39263561 0.91302470 0.10653727
0.00000000 0.00000000 0.00000000 1.00000000
# frame 50  Twc (camera->world)
0.97203470 0.23431711 -0.01562144 0.03864719
-0.20823329 0.89076057 0.40396101 -0.07651078
0.10856994 -0.38941122 0.91464281 0.10592225
0.00000000 0.00000000 0.00000000 1.00000000
# frame 51  Twc (camera->world)
0.97114131 0.23845710 -0.00477062 0.03811198
-0.21711786 0.89215989 0.39611938 -0.07612931
0.09871363 -0.38365211 0.91818663 0.10482536
0.00000000 0.00000000 0.00000000 1.00000000
# frame 52  Twc (camera->world)
0.97132740 0.23751474 0.01047981 0.03514681
-0.22283808 0.89417241 0.38832834 -0.07547140
0.08286295 -0.37952925 0.92146149 0.10399947
0.00000000 0.00000000 0.00000000 1.00000000
# frame 53  Twc (camera->world)
0.97276804 0.23126036 0.01552410 0.03536817
-0.21930371 0.89665676 0.38459399 -0.07461037
0.07502155 -0.37752523 0.92295529 0.10344310
0.00000000 0.00000000 0.00000000 1.00000000
# frame 54  Twc (camera->world)
0.97329547 0.22845135 0.02249250 0.03486013
-0.21940500 0.89696518 0.38381625 -0.07452728
0.06750835 -0.37850159 0.92313551 0.10374500
0.00000000 0.00000000 0.00000000 1.00000000
# frame 55  Twc (camera->world)
0.97343910 0.22581815 0.03771568 0.03280574
-0.22316144 0.89908317 0.37662770 -0.07380076
0.05113984 -0.37504082 0.92559662 0.10352805
0.00000000 0.00000000 0.00000000 1.00000000
# frame 56  Twc (camera->world)
0.97353397 0.22473875 0.04152227 0.03248328
-0.22376937 0.90040128 0.37310159 -0.07303598
0.04646368 -0.37251849 0.92686089 0.10343842
0.00000000 0.00000000 0.00000000 1.00000000
# frame 57  Twc (camera->world)
