# frame 0  Twc (camera->world)
1.00000000 0.00000000 0.00000000 0.00000000
0.00000000 1.00000000 0.00000000 0.00000000
0.00000000 0.00000000 1.00000000 0.00000000
0.00000000 0.00000000 0.00000000 1.00000000
# frame 1  Twc (camera->world)
0.38648026 0.01360596 -0.92219731 1.20898377
0.84029212 0.40697787 0.35815941 0.84645144
0.38018700 -0.91333668 0.14585593 3.35938201
0.00000000 0.00000000 0.00000000 1.00000000
# frame 2  Twc (camera->world)
0.37291612 0.00941853 -0.92781726 1.20919321
0.84460246 0.41056059 0.34363744 0.84529178
0.38416176 -0.91178467 0.14514975 3.36190609
0.00000000 0.00000000 0.00000000 1.00000000
# frame 3  Twc (camera->world)
0.36941652 0.00860132 -0.92922411 1.20956051
0.84432112 0.41456161 0.33950038 0.84462300
0.38814080 -0.90998060 0.14588363 3.36183558
0.00000000 0.00000000 0.00000000 1.00000000
# frame 4  Twc (camera->world)
0.36526832 0.01031114 -0.93084517 1.20977735
0.84445288 0.41714645 0.33598836 0.84404791
0.39176318 -0.90878079 0.14366311 3.36182229
0.00000000 0.00000000 0.00000000 1.00000000
# frame 5  Twc (camera->world)
0.35883296 0.00977207 -0.93335064 1.20988354
0.84475076 0.42193788 0.32918777 0.84232935
0.39703283 -0.90657208 0.14315025 3.36124111
0.00000000 0.00000000 0.00000000 1.00000000
# frame 6  Twc (camera->world)
0.35495930 0.01257957 -0.93479712 1.21000084
0.84570648 0.42187395 0.32680715 0.84202078
0.39847765 -0.90656722 0.13910946 3.36130550
0.00000000 0.00000000 0.00000000 1.00000000
# frame 7  Twc (camera->world)
0.35201638 0.01097781 -0.93592946 1.21006342
0.84713997 0.42149663 0.32356525 0.84168835
0.39804315 -0.90676352 0.13907397 3.36155074
0.00000000 0.00000000 0.00000000 1.00000000
# frame 8  Twc (camera->world)
0.34807065 0.00893811 -0.93742570 1.21090632
0.84927692 0.42041037 0.31934908 0.84231182
0.39695786 -0.90729005 0.13874158 3.35969473
0.00000000 0.00000000 0.00000000 1.00000000
# frame 9  Twc (camera->world)
0.34623283 0.01197538 -0.93807218 1.21083332
0.85053459 0.41792904 0.31925887 0.84236847
0.39587085 -0.90840074 0.13451528 3.36016907
0.00000000 0.00000000 0.00000000 1.00000000
# frame 10  Twc (camera->world)
0.34030283 0.01383749 -0.94021408 1.21095380
0.85466861 0.41238138 0.31540952 0.84267288
0.39209125 -0.91090621 0.12850808 3.35942183
0.00000000 0.00000000 0.00000000 1.00000000
# frame 11  Twc (camera->world)
0.33834980 0.01613229 -0.94088212 1.21108681
0.85583452 0.41042218 0.31480297 0.84218672
0.39123739 -0.91175292 0.12505969 3.36036149
0.00000000 0.00000000 0.00000000 1.00000000
# frame 12  Twc (camera->world)
0.33782037 0.01392746 -0.94110755 1.21066184
0.85590866 0.41139692 0.31332561 0.84237963
0.39153257 -0.91134988 0.12705763 3.35952046
0.00000000 0.00000000 0.00000000 1.00000000
# frame 13  Twc (camera->world)
0.33498703 0.01312260 -0.94213135 1.21098874
0.85653251 0.41239406 0.31029534 0.84280409
0.39260126 -0.91091105 0.12690673 3.35963615
0.00000000 0.00000000 0.00000000 1.00000000
# frame 14  Twc (camera->world)
